catchment_row,catchmentname,sitedata_id,WWRNA_simplename,localsite_id,altname,,,,,,,,,,,
1,Annan DOA,5,Annan,,,,,,,,,,,,,
2,Avse Pfi - Edinburgh DOA,24,Seafield,,,,,,,,,,,,,
3,Carbarns DOA,21,Carbarns,,,,,,,,,,,,,
4,Dalbeattie DOA,6,Dalbeattie,,,,,,,,,,,,,
5,Dalderse DOA,12,Falkirk,,,,,,,,,,,,,
6,Dalmuir DOA,15,Dalmuir,,,,,,,,,,,,,
7,Dalscone DOA,7,Dalscone,,,,,,,,,,,,,
8,Dunfermline DOA,10,Dunfermline,,,,,,,,,,,,,
9,Fort William DOA,18,Fort William,,,,,,,,,,,,,
10,Galashiels DOA,2,Galashiels,,,,,,,,,,,,,
11,Hamilton DOA,22,Hamilton,,,,,,,,,,,,,
12,Hatton DOA,27,Hatton,,,,,,,,,,,,,
13,Hawick DOA,3,Hawick,,,,,,,,,,,,,
14,Helensburgh DOA,19,Helensburgh,,,,,,,,,,,,,
15,Inverness DOA,17,Allanfearn,,,,,,,,,,,,,
16,Kirkwall DOA,25,Kirkwall,,,,,,,,,,,,,
17,Lerwick DOA,26,Lerwick,,,,,,,,,,,,,
18,Leven Valley DOA,11,Levenmouth,,,,,,,,,,,,,
19,Lockerbie DOA,8,Lockerbie,,,,,,,,,,,,,
20,Meadowhead DOA,1,Meadowhead,,,,,,,,,,,,,
21,Nairn DOA,20,Nairn,,,,,,,,,,,,,
22,Nigg Headworks DOA,14,Nigg,,,,,,,,,,,,,
23,Peebles DOA,4,Peebles,,,,,,,,,,,,,
24,Philipshill DOA,23,Philipshill,,,,,,,,,,,,,
25,Shieldhall DOA,16,Shieldhall,,,,,,,,,,,,,
26,Stirling DOA,13,Stirling,,,,,,,,,,,,,
27,Stornoway DOA,28,Stornoway,,,,,,,,,,,,,
28,Troqueer DOA,9,Troqueer,,,,,,,,,,,,,
,Muirkirk DOA,,Muirkirk ,1,,,,,,,,,,,,
,New Cumnock DOA,,New Cumnock ,2, Burnside New Cumnock DOA New Cumnock DOA ,,,,,,,,,,,
,Largs DOA,,Largs ,3,,,,,,,,,,,,
,Stevenston DOA,,Stevenston ,4,,,,,,,,,,,,
,Maybole DOA,,Maybole ,5,,,,,,,,,,,,
,Coldstream DOA,,Coldstream ,6,,,,,,,,,,,,
,Duns DOA,,Duns ,7,,,,,,,,,,,,
,Newtown St Boswells DOA,,Newtown St Boswell ,8,,,,,,,,,,,,
,Bowhouse DOA,,Bowhouse ,9,,,,,,,,,,,,
,Cupar DOA,,Cupar ,10,,,,,,,,,,,,
,Guardbridge DOA,,Guardbridge ,11,,,,,,,,,,,,
,Iron Mill Bay DOA,,Ironmill Bay ,12,,,,,,,,,,,,
,Kincardine DOA,,Kincardine ,13, Kincardine DOA Kincardine O'Neil DOA ,,,,,,,,,,,
,Kirkcaldy DOA,,Kirkcaldy ,14,,,,,,,,,,,,
,Newburgh Fife DOA,,Newburgh ,15,,,,,,,,,,,,
,Newport Wormit DOA,,Newport & Tayport ,16,,,,,,,,,,,,
,Springfield DOA,,Springfield ,17,,,,,,,,,,,,
,St Andrews DOA,,St Andrews ,18,,,,,,,,,,,,
,Alloa DOA,,Alloa ,19,,,,,,,,,,,,
,Fraserburgh Phingask DOA,,Fraserburgh ,20,,,,,,,,,,,,
,Peterhead DOA,,Peterhead ,21,,,,,,,,,,,,
,Lossiemouth DOA,,Lossiemouth ,22,,,,,,,,,,,,
,Daldowie DOA,,Daldowie ,23,,,,,,,,,,,,
,Dalmarnock DOA,,Dalmarnock ,24,,,,,,,,,,,,
,Inverclyde DOA,,Inverclyde ,25,,,,,,,,,,,,
,Dunnswood DOA,,Dunnswood ,26,,,,,,,,,,,,
,Harthill DOA,,Harthill ,27,,,,,,,,,,,,
,Shotts DOA,,Shotts ,28,,,,,,,,,,,,
,Swinstie DOA,,Swinstie ,29,,,,,,,,,,,,
,Allers DOA,,Allers ,30,,,,,,,,,,,,
,Blackwood DOA,,Blackwood ,31,,,,,,,,,,,,
,Bothwellbank DOA,,Bothwellbank ,32,,,,,,,,,,,,
,Lanark DOA,,Lanark ,33,,,,,,,,,,,,
,Lesmahagow DOA,,Lesmahagow ,34,,,,,,,,,,,,
,Mauldsie (Carluke) DOA,,Mauldslie ,35,,,,,,,,,,,,
,Skellyton DOA,,Skellyton ,36,,,,,,,,,,,,
,Stonehouse DOA,,Stonehouse ,37,,,,,,,,,,,,
,Strathaven DOA,,Strathaven ,38,,,,,,,,,,,,
,Biggar DOA,,Biggar ,39,,,,,,,,,,,,
,Armadale DOA,,Armadale ,40,,,,,,,,,,,,
,Bathgate DOA,,Bathgate ,41,,,,,,,,,,,,
,Blackburn DOA,,Blackburn ,42,,,,,,,,,,,,
,Blackridge DOA,,Blackridge ,43,,,,,,,,,,,,
,East Calder DOA,,East Calder ,44,,,,,,,,,,,,
,Fauldhouse DOA,,Fauldhouse ,45,,,,,,,,,,,,
,Linlithgow DOA,,Linlithgow ,46,,,,,,,,,,,,
,Whitburn DOA,,Whitburn ,47,,,,,,,,,,,,
,Winchburgh DOA,,Winchburgh ,48,,,,,,,,,,,,
,Underwood Cumnock DOA,,Cumnock,,,,,,,,,,,,,
,Fairlie DOA,,Fairlie,,,,,,,,,,,,,Burnside New Cumnock DOA
,Girvan DOA,,Girvan,,,,,,,,,,,,,
,Tillicoultry DOA,,Tillicoultry,,,,,,,,,,,,,
,Bo'Ness DOA,,Boness,,,,,,,,,,,,,
,Bonnybridge DOA,,Bonnybridge,,,,,,,,,,,,,
,Denny DOA,,Denny,,,,,,,,,,,,,
,Alva DOA,,Alva,,,,,,,,,,,,,
,Neilston DOA,,Neilston,,,,,,,,,,,,,
,Uplawmoor DOA,,Uplawmoor,,,,,,,,,,,,,
,Laighpark Paisley DOA,,Paisley,,,,,,,,,,,,,
,Ardoch DOA,,Ardoch,,,,,,,,,,,,,
,Dunbar DOA,,Dunbar,,,,,,,,,,,,,
,Penicuik DOA 1,,Penicuik,,,,,,,,,,,,,
,Blairgowrie DOA,,Blairgowrie,,,,,,,,,,,,,
,Perth City DOA,,Perth,,,,,,,,,,,,,
,Kelso DOA,,Kelso,,,,,,,,,,,,,
,Eyemouth DOA,,Eyemouth,,,,,,,,,,,,,
,Selkirk DOA,,Selkirk,,,,,,,,,,,,,
,Forfar DOA,,Forfar,,,,,,,,,,,,,
,Dunblane DOA,,Dunblane,,,,,,,,,,,,,
,Banchory DOA,,Banchory,,,,,,,,,,,,,
,Macduff Berrymuir DOA,,Banff,,,,,,,,,,,,,
,Ellon DOA,,Ellon,,,,,,,,,,,,,
,Forres DOA,,Forres,,,,,,,,,,,,,
,Inverurie New DOA,,Inverurie,,,,,,,,,,,,,
,Turriff DOA,,Turriff,,,,,,,,,,,,,
,Langholm DOA,,Langholm,,,,,,,,,,,,,
,Loch Ryan DOA,,Loch Ryan,,,,,,,,,,,,,
,Sanquhar DOA,,Sanquhar,,,,,,,,,,,,,
,Grantown On Spey DOA,,Grantown on Spey,,,,,,,,,,,,,
,Huntly DOA,,Huntly,,,,,,,,,,,,,
,Buckie Moray East DOA,,Buckie,,,,,,,,,,,,,
,Aviemore DOA,,Aviemore,,,,,,,,,,,,,
,Kinneil Kerse DOA,,Kinneil,,,,,,,,,,,,,
,Persley DOA,,Persley,,,,,,,,,,,,,
,Erskine DOA,,Erskine,,,,,,,,,,,,,
,Newbridge DOA,,Newbridge,,,,,,,,,,,,,
,Montrose DOA,,Montrose,,,,,,,,,,,,,
,Jedburgh DOA,,Jedburgh,,,,,,,,,,,,,
,Haddington DOA,,Haddington,,,,,,,,,,,,,
,Alness & Invergordon DOA,,Alness,,,,,,,,,,,,,
,Thurso DOA,,Thurso,,,,,,,,,,,,,
,Wick DOA,,Wick,,,,,,,,,,,,,
,Dunoon DOA,,Dunoon,,,,,,,,,,,,,
,Oban DOA,,Oban,,,,,,,,,,,,,
